title,author,press_time,money,rating_num,rating_people,short_produce
爱你就像爱生命,王小波 , 2008-5 , 18.00元,8.8,89173人评价,王小波与李银河的两地书
一个叫欧维的男人决定去死,[瑞典] 弗雷德里克·巴克曼 , 2015-12 , 35.00元,9,38652人评价,这个发生在瑞典的故事，如生命庆典般绚丽斑斓
我们仨,杨绛 , 2003-7 , 18.80元,8.7,250546人评价,家庭生活回忆录
巨人的陨落,[英] 肯·福莱特 , 2016-5-1 , 129.80元,8.9,69296人评价,五个家族，一场战争
最好的告别,[美] 阿图·葛文德（Atul Gawande） , 2015-7-31 , 54.90元,9,27814人评价,关于衰老与死亡，你必须知道的常识
这些人，那些事,吴念真 , 2011-9 , 28.00元,8.8,57664人评价,平淡叙述下的惊心动魄
道德经,黄元吉 , 1996-10 , 4.50元,9.4,13629人评价,中国历史上首部完整的哲学著作
呼兰河传,萧红 , 2005-01 ,19,8.9,59493人评价,萧红的童年往事
你当像鸟飞往你的山,[美] 塔拉·韦斯特弗 , 2019-10-20 , 59.00元,8.8,80080人评价,我来自一个极少有人能想象的家庭，教育给了我新世界
罗杰疑案,[英] 阿加莎·克里斯蒂 , 2013-3 , 28.00元,9.2,22229人评价,空
教父,[美]马里奥·普佐 , 1997-8 , 23.30元,9,33079人评价,“教父三部曲”电影原著
唐诗三百首,蘅塘退士 , 1998-1-1 ,0.65,9.4,16431人评价,熟读唐诗三百首，不会吟诗也会吟
海子的诗,海子 , 1999-04 ,15.4,8.9,35338人评价,空
鼠疫,(法)阿尔贝·加缪 , 2013-8 , 34.00元,9,28864人评价,用别样的监禁生活再现某种监禁生活，与用不存在的事表现真事同等合理
故事新编,鲁迅 , 1973-12-01 , 0.31 元,9.4,17286人评价,拾取古代传说，取一点因由，随意点染
看不见的城市,[意大利]伊塔洛·卡尔维诺 , 2006-8 , 16.00元,8.8,34917人评价,每一座城市都只在想象中耸立，又在描述中坍圮
人生的枷锁,[英] 毛姆 , 2007-3 , 32.00元,9,21651人评价,在混沌纷扰的生活漩流中，寻求人生的真谛
鹿鼎记（全五册）,金庸 , 2008-3 , 108.00元,8.8,47220人评价,武侠的解构，流氓的狂欢
飞鸟集,[印] 罗宾德拉纳德·泰戈尔 , 2004-6 , 16.80元,8.9,53063人评价,一个淡泊清透的世界
斯通纳,[美] 约翰·威廉斯 , 2016-1 , 49.00元,8.8,36166人评价,即使不能拥有完美的生活，所幸追求过完整的自我
梦里花落知多少,三毛 , 2007-6 , 28.00元,8.8,80092人评价,哀而不伤
边城,沈从文 , 2002-4 , 12.00元,8.7,187168人评价,一切充满了善，然而到处是不凑巧
冬牧场,李娟 , 2012-6 , 29.80元,9,19364人评价,阿勒泰的精灵
金色梦乡,[日] 伊坂幸太郎 , 2010-9 , 35.00元,9,20295人评价,伊坂幸太郎代表作
陆犯焉识,严歌苓 , 2011-10 , 35.00元,8.8,46309人评价,翻手为苍凉，覆手为繁华
王尔德童话,[英] 王尔德 , 2003-6 , 6.00元,9.1,17218人评价,一颗纯美纯善、永难泯灭的童心
叫魂,[美] 孔飞力 , 2012-5 , 38.00元,9,20956人评价,1768年中国妖术大恐慌
时间简史,[英] 史蒂芬·霍金 , 2010-4 , 45.00元,8.8,49283人评价,探索时间和空间的核心秘密
人生的智慧,[德] 阿图尔·叔本华 , 2008-10 , 28.00元,9.2,18562人评价,对世俗、实用问题深刻而透彻的讨论
美的历程,李泽厚 , 2009-1-1 , 43.00元,9.2,18024人评价,中国美学经典之作
一个陌生女人的来信,[奥] 斯台芬·茨威格 , 2007-7 , 20.00元,8.7,112337人评价,暗恋的极致
孽子,白先勇 , 广西师范大学出版社 , 46.00元,9.1,18396人评价,写给那一群， 在最深最深的黑夜里， 独自彷徨街头， 无所依归的孩子们
献给阿尔吉侬的花束,[美] 丹尼尔·凯斯 , 2015-4 , 36.00元,9.1,20304人评价,当声称能改造智能的科学实验选中心智障碍主角
國史大綱（上下）,錢穆 , 2013-8 , 76.00元,9.3,12636人评价,钱穆中国通史
离开的，留下的,[意] 埃莱娜·费兰特 , 2017-10 , 62.00元,8.8,38544人评价,探索中年的虚无、困惑、野心和近乎残暴的爱
孩子你慢慢来,龙应台 , 2009-12-1 , 28.00元,8.7,65448人评价,我们现在怎样做母亲
十万个为什么,少年儿童出版社 ,少年儿童出版社 , 30.00元,9.1,11247人评价,空
史蒂夫·乔布斯传,[美] 沃尔特·艾萨克森 , 2011-10-24 , 68.00元,8.7,49558人评价,完美主义者的最高形态
苏菲的世界,[挪] 乔斯坦·贾德 , 2007-10 , 26.00元,8.8,41342人评价,哲学启蒙书
昨日的世界,[奥] 斯蒂芬·茨威格 , 2004-5-1 , 32.00元,9.2,10649人评价,一个高贵而残破的昨日镜像
经济学原理（上下）,[美] 曼昆 , 2003-8 , 88.00元,9.1,16568人评价,经济学家们的世界观
爱的艺术,[美] 艾·弗洛姆 , 2008-4 , 15.00元,8.8,30982人评价,谦恭地、勇敢地、真诚地和有纪律地爱他人
万水千山走遍,三毛 , 2003-08 ,13.8,8.8,36469人评价,从遥远的撒哈拉到敦煌戈壁
我也有一个梦想,林达 , 2004-08 , 25.00元,9,13458人评价,在法治国家里，民众怎样运用法律
浮生六记,（清）沈复 , 1999-1 , 5.70元,8.8,49893人评价,苟不记之笔墨，未免有辜彼苍之厚
送你一颗子弹,刘瑜 , 2010-1 , 25.00元,8.6,129291人评价,在这本书里，被“审视”的东西杂七杂八
九州·缥缈录,江南 , 2015-10 , 198.00元,8.8,5082人评价,一轴腥风血雨的乱世长卷，中国版《冰与火之歌》
四世同堂,老舍 , 2008-07 , 36.00元,9.3,18307人评价,北平沦陷时代广大平民的悲惨遭遇
不能承受的生命之轻,米兰·昆德拉 , 2010-8 , 29.00元,8.8,35203人评价,空
绿毛水怪,王小波 , 2009-1 , 30.00元,9,16516人评价,我们好象在池塘的水底，从一个月亮走向另一个月亮
倾城之恋,张爱玲 , 2006-12 , 29.80元,8.7,40407人评价,“一对平凡的夫妻”之间的“一点真心”
小径分岔的花园,[阿根廷] 博尔赫斯 , 2015-7 ,23,8.9,19143人评价,一个谜语，谜底正是时间
海的女儿,安徒生 , 上海译文出版社 ,0.43,9.1,10744人评价,空
球状闪电,刘慈欣 , 2005-6 , 22.00元,8.7,56941人评价,量子之外，没有真相
亮剑,都梁 , 2005-3 , 28.00元,8.9,21495人评价,面对强大的对手，明知不敌，也要毅然亮剑
野火集,龙应台 , 2005-8 , 25.00元,8.8,31087人评价,中国人，你为什么不生气
面纱,(英)W.萨默塞特·毛姆 , 2012-05-01 , 32.00元,8.7,45670人评价,揭去生活的面纱
目送,龙应台 , 2009-10 , 39.00元,8.6,189973人评价,不必追
情书,[日] 岩井俊二 , 2004-7 , 18.00元,8.6,89322人评价,一场同名同姓的误会，两段可贵的爱情
我的阿勒泰,李娟 , 2010-7 , 22.00元,8.8,19210人评价,描写疆北阿勒泰地区生活和风情的原生态散文集
故事,[美] 罗伯特·麦基 , 2014-9-1 , 68.00元,9.2,11622人评价,材质、结构、风格和银幕剧作的原理
亲爱的安德烈,龙应台 , 2008-12 ,26,8.6,106781人评价,弭平代沟，跨越文化阻隔
古文观止,吴楚材 , 1987-1-1 , 21.00元,9.1,14714人评价,收录自先秦至明末的散文二百二十二篇
枪炮、病菌与钢铁,[美] 贾雷德·戴蒙德 , 2006-4-1 , 45.00元,8.7,34678人评价,人类社会的命运
阿勒泰的角落,李娟 , 2010-6 , 25.00元,9.1,12593人评价,白雪和阳光，青草和白桦林
银河系漫游指南,[英] 道格拉斯·亚当斯 , 2005-6 , 16.00元,8.8,18383人评价,一场穿越银河的冒险
温柔的夜,三毛 , 2007-5 , 28.00元,9.1,16698人评价,三毛在加纳利群岛的生活
霸王别姬,李碧华 , 1999-1 , 10.20元,9.1,14837人评价,人间，只是抹去了脂粉的脸
受戒,汪曾祺 , 1987-10 , 3.95元,9.3,14494人评价,江南乡镇民间生活，健康淳朴的人性
渴望生活,[美] 欧文·斯通 , 2008-4 , 29.80元,9.2,9648人评价,梵高悲惨而成就辉煌的人生
激荡三十年,吴晓波 , 2008-7-1 , 32.00元,8.6,11850人评价,中国企业1978—2008
麦琪的礼物,[美] 欧·亨利 , 2003-7 , 25.00元,8.6,61400人评价,日常的奇迹
德米安,[德] 赫尔曼·黑塞 , 2009-3 , 25.00元,9,17883人评价,少年辛克莱寻找通向自身之路的艰辛历程
你好，旧时光（上 下）,八月长安 , 2009-12 , 39.80元,8.7,37346人评价,原作名切题
解忧杂货店,[日] 东野圭吾 , 2014-5 , 39.50元,8.5,660319人评价,现代人内心流失的东西，这家杂货店能帮你找回
半生缘,张爱玲 , 2006-12 , 28.00元,8.6,72695人评价,世钧，我们回不去了
棋王,阿城 , 1999-10 ,13,8.8,23657人评价,我从未真正见过火，也未见过毁灭，更不知新生
罪与罚,[俄] 陀思妥耶夫斯基 , 2006-8 , 23.00元,9.1,14525人评价,描绘人内心的全部深度
